home_team,away_team,spread,total_line,bookmaker,commence_time
Cleveland Browns,Minnesota Vikings,3.5,36.5,DraftKings,2025-10-05T13:31:00Z
Baltimore Ravens,Houston Texans,1.5,40.5,DraftKings,2025-10-05T17:01:00Z
Carolina Panthers,Miami Dolphins,1.5,45.5,DraftKings,2025-10-05T17:01:00Z
New York Jets,Dallas Cowboys,1.5,47.5,DraftKings,2025-10-05T17:01:00Z
Philadelphia Eagles,Denver Broncos,-4.5,43.5,DraftKings,2025-10-05T17:01:00Z
Indianapolis Colts,Las Vegas Raiders,-7.0,47.5,DraftKings,2025-10-05T17:01:00Z
New Orleans Saints,New York Giants,-1.5,42.5,DraftKings,2025-10-05T17:01:00Z
Arizona Cardinals,Tennessee Titans,-7.5,41.5,DraftKings,2025-10-05T20:06:00Z
Seattle Seahawks,Tampa Bay Buccaneers,-3.5,44.5,DraftKings,2025-10-05T20:06:00Z
Cincinnati Bengals,Detroit Lions,10.5,49.5,DraftKings,2025-10-05T20:26:00Z
Los Angeles Chargers,Washington Commanders,-2.5,47.5,DraftKings,2025-10-05T20:26:00Z
Buffalo Bills,New England Patriots,-8.5,49.5,DraftKings,2025-10-06T00:21:00Z
Jacksonville Jaguars,Kansas City Chiefs,3.5,45.5,DraftKings,2025-10-07T00:16:00Z
New York Giants,Philadelphia Eagles,7.0,42.5,DraftKings,2025-10-10T00:16:00Z
New York Jets,Denver Broncos,6.5,43.5,DraftKings,2025-10-12T12:31:00Z
Indianapolis Colts,Arizona Cardinals,-3.5,47.5,DraftKings,2025-10-12T17:01:00Z
Baltimore Ravens,Los Angeles Rams,4.5,44.5,FanDuel,2025-10-12T17:01:00Z
Carolina Panthers,Dallas Cowboys,3.5,47.5,DraftKings,2025-10-12T17:01:00Z
Pittsburgh Steelers,Cleveland Browns,-5.5,38.5,DraftKings,2025-10-12T17:01:00Z
Jacksonville Jaguars,Seattle Seahawks,-1.5,45.5,DraftKings,2025-10-12T17:01:00Z
Miami Dolphins,Los Angeles Chargers,5.5,45.5,DraftKings,2025-10-12T17:01:00Z
New Orleans Saints,New England Patriots,3.5,44.5,DraftKings,2025-10-12T17:01:00Z
Las Vegas Raiders,Tennessee Titans,-6.0,41.5,DraftKings,2025-10-12T20:06:00Z
Green Bay Packers,Cincinnati Bengals,-13.5,44.5,DraftKings,2025-10-12T20:26:00Z
Kansas City Chiefs,Detroit Lions,-1.5,48.5,DraftKings,2025-10-13T00:21:00Z
Atlanta Falcons,Buffalo Bills,5.5,50.5,DraftKings,2025-10-13T23:16:00Z
Washington Commanders,Chicago Bears,-5.5,50.5,DraftKings,2025-10-14T00:16:00Z
